n,identical_prime_pair,propE_base,propO_base,propI_base,propE_altA,propO_altA,propI_altA,propE_altB,propO_altB,propI_altB,propE_altC,propO_altC,propI_altC,collatz_steps,collatz_max,divergence_ratio,time_to_peak_ratio,log_n,mod3,mod4,mod6,mod12,mod30,center_distance_base,center_distance_altA,center_distance_altB,center_distance_altC,mag_bin,near_center
6162,0,0.05806451612903226,0.012903225806451613,0.9290322580645162,0.05806451612903226,0.7225806451612903,0.21935483870967742,0.025806451612903226,0.3096774193548387,0.6645161290322581,0.06451612903225806,0.0064516129032258064,0.9290322580645162,155,15604,2.5322947095098995,0.05806451612903226,8.726156679156613,0,2,0,6,12,0.5268839148516953,0.6406129998749173,0.33804850984023416,0.5262910887461923,5001-10000,0
6164,0,0.0,0.0,1.0,0.0,0.0,1.0,0.05555555555555555,0.19444444444444445,0.75,0.08333333333333333,0.0,0.9166666666666666,36,6164,1.0,0.0,8.726481196440007,2,0,2,8,14,0.6164414002968976,0.6164414002968976,0.349691221819027,0.5104464277037851,5001-10000,0
6166,1,0.1111111111111111,0.05555555555555555,0.8333333333333334,0.1111111111111111,0.08333333333333333,0.8055555555555556,0.08333333333333333,0.25,0.6666666666666666,0.1388888888888889,0.027777777777777776,0.8333333333333334,36,13876,2.2504054492377557,0.1111111111111111,8.726805608446096,1,2,4,10,16,0.40945612828196176,0.37769606959518964,0.27788886667555107,0.408323885000288,5001-10000,0
6168,0,0.0,0.0,1.0,0.0,0.0,1.0,0.027777777777777776,0.2777777777777778,0.6944444444444444,0.08333333333333333,0.0,0.9166666666666666,36,6168,1.0,0.0,8.727129915243166,0,0,0,0,18,0.6164414002968976,0.6164414002968976,0.34345736702386065,0.5104464277037851,5001-10000,0
6170,0,0.05555555555555555,0.027777777777777776,0.9166666666666666,0.05555555555555555,0.0,0.9444444444444444,0.05555555555555555,0.16666666666666666,0.7777777777777778,0.08333333333333333,0.0,0.9166666666666666,36,9256,1.500162074554295,0.05555555555555555,8.727454116899434,2,2,2,2,20,0.5128593290153008,0.5452375176171244,0.3715167443844553,0.5104464277037851,5001-10000,0
6172,0,0.06306306306306306,0.009009009009009009,0.9279279279279279,0.06306306306306306,0.6306306306306306,0.3063063063063063,0.04504504504504504,0.36036036036036034,0.5945945945945946,0.07207207207207207,0.0,0.9279279279279279,111,10420,1.6882696046662347,0.06306306306306306,8.72777821348305,1,0,4,4,22,0.5251085432798334,0.5282983050314464,0.31569860873545746,0.5244744529814666,5001-10000,0
6174,0,0.07207207207207207,0.02702702702702703,0.9009009009009009,0.07207207207207207,0.6216216216216216,0.3063063063063063,0.018018018018018018,0.15315315315315314,0.8288288288288288,0.06306306306306306,0.036036036036036036,0.9009009009009009,111,31264,5.063816002591513,0.07207207207207207,8.728102205062104,0,2,0,6,24,0.49253662001092013,0.5169460118088455,0.4357027242179213,0.4937052014177976,5001-10000,0
6176,0,0.7258064516129032,0.008064516129032258,0.2661290322580645,0.7258064516129032,0.0,0.27419354838709675,0.03225806451612903,0.22580645161290322,0.7419354838709677,0.717741935483871,0.0,0.28225806451612906,124,9232,1.494818652849741,0.7258064516129032,8.728426091704613,2,0,2,8,26,0.5223466222313529,0.5218234259068696,0.36177962258449237,0.5117810812545467,5001-10000,0
6178,1,0.05555555555555555,0.027777777777777776,0.9166666666666666,0.05555555555555555,0.08333333333333333,0.8611111111111112,0.08333333333333333,0.19444444444444445,0.7222222222222222,0.08333333333333333,0.0,0.9166666666666666,36,9268,1.5001618646811266,0.05555555555555555,8.728749873478527,1,2,4,10,28,0.5128593290153008,0.4514038459060417,0.31041588988219987,0.5104464277037851,5001-10000,0
6180,0,0.16129032258064516,0.016129032258064516,0.8225806451612904,0.16129032258064516,0.0,0.8387096774193549,0.06451612903225806,0.4032258064516129,0.532258064516129,0.1774193548387097,0.0,0.8225806451612904,62,7828,1.2666666666666666,0.16129032258064516,8.729073550451737,0,0,0,0,0,0.3963674810334618,0.41709066183181914,0.31272026576508805,0.3988537165438383,5001-10000,0
