n,collatz_steps,collatz_max,divergence_ratio,oscillation_count,time_to_peak_ratio,frac_up,mean_run_up,std_run_up,mean_run_down,std_run_down,prop_exploration,prop_optimization,prop_integration,identical_prime_pair,center_distance,symmetry_score,gravitational_pull
182,93,9232,50.72527472527472,66,0.6344086021505376,0.3548387096774194,1.0,0.0,1.7647058823529411,1.1129934075543824,0.6344086021505376,0.15053763440860216,0.21505376344086022,0,0.44211988931893903,0.5161290322580645,0.553391468807332
184,18,184,1.0,8,0.0,0.2222222222222222,1.0,0.0,2.8,1.6,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
186,18,280,1.5053763440860215,8,0.1111111111111111,0.2222222222222222,1.0,0.0,2.8,1.6,0.1111111111111111,0.05555555555555555,0.8333333333333334,0,0.40945612828196176,0.2222222222222222,0.5863868501334799
188,106,9232,49.1063829787234,76,0.6792452830188679,0.3584905660377358,1.0,0.0,1.7435897435897436,1.0553392629362397,0.6792452830188679,0.1320754716981132,0.18867924528301888,0,0.49533961940737764,0.4528301886792453,0.4996314230381139
190,106,9232,48.589473684210525,76,0.6792452830188679,0.3584905660377358,1.0,0.0,1.7435897435897436,1.1258717128256486,0.6792452830188679,0.1320754716981132,0.18867924528301888,0,0.49533961940737764,0.4528301886792453,0.4996314230381139
192,13,192,1.0,4,0.0,0.15384615384615385,1.0,0.0,3.6666666666666665,2.0548046676563256,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
194,119,9232,47.58762886597938,86,0.7142857142857143,0.36134453781512604,1.0,0.0,1.7272727272727273,1.0305258226140577,0.7142857142857143,0.11764705882352941,0.16806722689075632,1,0.5372094804130251,0.40336134453781514,0.45733647640321173
196,26,196,1.0,14,0.0,0.2692307692307692,1.0,0.0,2.375,1.1110243021644486,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
198,26,448,2.2626262626262625,14,0.15384615384615385,0.2692307692307692,1.0,0.0,2.375,1.7275343701356567,0.15384615384615385,0.07692307692307693,0.7692307692307693,0,0.3301425189826913,0.3076923076923077,0.6665056943847578
200,26,200,1.0,14,0.0,0.2692307692307692,1.0,0.0,2.375,0.9921567416492215,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
202,26,304,1.504950495049505,14,0.07692307692307693,0.2692307692307692,1.0,0.0,2.375,1.2183492931011204,0.07692307692307693,0.038461538461538464,0.8846153846153846,1,0.4730612880468245,0.15384615384615385,0.5221359361503539
204,26,232,1.1372549019607843,14,0.19230769230769232,0.2692307692307692,1.0,0.0,2.375,0.9921567416492215,0.19230769230769232,0.038461538461538464,0.7692307692307693,0,0.3319299847752526,0.26923076923076916,0.664700081266102
206,88,9232,44.81553398058252,62,0.6136363636363636,0.3522727272727273,1.0,0.0,1.78125,1.1383753500054365,0.6136363636363636,0.1590909090909091,0.22727272727272727,1,0.41763798630309695,0.5454545454545454,0.5781219254342653
208,13,208,1.0,4,0.0,0.15384615384615385,1.0,0.0,3.6666666666666665,0.4714045207910317,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
210,39,808,3.8476190476190477,24,0.28205128205128205,0.3076923076923077,1.0,0.0,2.076923076923077,1.1409536133993328,0.28205128205128205,0.05128205128205128,0.6666666666666666,0,0.22409141555323986,0.3846153846153847,0.7736334863665879
212,13,212,1.0,4,0.0,0.15384615384615385,1.0,0.0,3.6666666666666665,1.247219128924647,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
214,101,9232,43.14018691588785,72,0.6633663366336634,0.3564356435643564,1.0,0.0,1.7567567567567568,1.075662094169319,0.6633663366336634,0.13861386138613863,0.19801980198019803,1,0.476440334783452,0.4752475247524752,0.5187225834911888
216,114,9232,42.74074074074074,82,0.7017543859649122,0.35964912280701755,1.0,0.0,1.7380952380952381,1.0478895754602566,0.7017543859649122,0.12280701754385964,0.17543859649122806,0,0.5222120717008575,0.42105263157894735,0.4724861469754973
218,114,9232,42.34862385321101,82,0.7017543859649122,0.35964912280701755,1.0,0.0,1.7380952380952381,1.0478895754602566,0.7017543859649122,0.12280701754385964,0.17543859649122806,1,0.5222120717008575,0.42105263157894735,0.4724861469754973
220,114,9232,41.96363636363636,82,0.7017543859649122,0.35964912280701755,1.0,0.0,1.7380952380952381,1.0478895754602566,0.7017543859649122,0.12280701754385964,0.17543859649122806,0,0.5222120717008575,0.42105263157894735,0.4724861469754973
222,70,9232,41.585585585585584,48,0.5142857142857142,0.34285714285714286,1.0,0.0,1.84,1.22245654319489,0.5142857142857142,0.2,0.2857142857142857,0,0.3030457633656632,0.6857142857142857,0.6938775510204083
224,21,224,1.0,10,0.0,0.23809523809523808,1.0,0.0,2.6666666666666665,1.4907119849998598,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
226,13,340,1.5044247787610618,4,0.15384615384615385,0.15384615384615385,1.0,0.0,3.6666666666666665,3.091206165165235,0.15384615384615385,0.07692307692307693,0.7692307692307693,1,0.3301425189826913,0.3076923076923077,0.6665056943847578
228,34,228,1.0,20,0.0,0.29411764705882354,1.0,0.0,2.1818181818181817,1.02851895445316,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
230,34,520,2.260869565217391,20,0.11764705882352941,0.29411764705882354,1.0,0.0,2.1818181818181817,1.1134044285378082,0.11764705882352941,0.058823529411764705,0.8235294117647058,0,0.3973092891945478,0.23529411764705888,0.5986570105458975
232,21,232,1.0,10,0.0,0.23809523809523808,1.0,0.0,2.6666666666666665,0.9428090415820634,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
