split,model_id,n,steps,pred,residual
train,12,312,37.0,43.467074815546304,-6.4670748155463045
train,12,314,37.0,57.80593681607171,-20.805936816071707
train,12,316,37.0,50.06517002075326,-13.065170020753257
train,12,318,55.0,57.75272985305212,-2.7527298530521165
train,12,320,11.0,25.446674869363687,-14.446674869363687
train,12,322,99.0,59.025498983267234,39.974501016732766
train,12,324,24.0,50.35236470003803,-26.35236470003803
train,12,326,24.0,58.21564667589143,-34.21564667589143
train,12,328,112.0,44.0415539598656,67.95844604013439
train,12,330,112.0,58.15738040246602,53.84261959753398
train,12,332,112.0,51.015536503674404,60.984463496325596
train,12,334,68.0,59.425213661909936,8.574786338090064
train,12,336,11.0,37.76170819156556,-26.76170819156556
train,12,338,50.0,58.61054445974428,-8.610544459744283
train,12,340,11.0,50.9060713453438,-39.9060713453438
train,12,342,125.0,58.54757601652778,66.45242398347222
train,12,344,32.0,45.16314021578733,-13.16314021578733
train,12,346,32.0,59.81081778034943,-27.81081778034943
train,12,348,32.0,51.17322731248336,-19.173227312483363
train,12,350,81.0,58.991663894408916,22.008336105591084
train,12,352,19.0,31.844332784603644,-12.844332784603644
train,12,354,32.0,58.92431389461165,-26.92431389461165
train,12,356,32.0,51.81729360015759,-19.81729360015759
train,12,358,32.0,60.18327371196065,-28.183273711960652
train,12,360,19.0,45.110901227350475,-26.110901227350475
train,12,362,19.0,59.35993413071742,-40.35993413071742
train,12,364,94.0,51.68959239276751,42.31040760723249
train,12,366,94.0,59.288491477206115,34.711508522793885
train,12,368,19.0,39.57268333729349,-20.57268333729349
train,12,370,45.0,60.54344861399426,-15.543448613994258
train,12,372,19.0,51.939323724295704,-32.939323724295704
train,12,374,45.0,59.716193390378635,-14.716193390378635
train,12,376,107.0,45.61042291924418,61.38957708075582
train,12,378,107.0,59.64091932400962,47.35908067599038
train,12,380,107.0,52.566723793849924,54.433276206150076
train,12,382,45.0,60.89212658835093,-15.892126588350934
train,12,384,14.0,13.03905990818345,0.9609400918165498
train,12,386,120.0,60.06120045686894,59.93879954313106
train,12,388,120.0,52.42306630818058,67.57693369181942
train,12,390,120.0,59.982331978754594,60.017668021245406
train,12,392,27.0,46.66359891546491,-19.66359891546491
train,12,394,27.0,61.23001896084567,-34.23001896084567
train,12,396,27.0,52.657506870297325,-25.657506870297325
